,0
1037,5586
1038,5590
1039,5602
1040,5603
1041,5612
1042,5614
1043,5618
1044,5621
1045,5622
1046,5623
1047,5640
1048,5645
1049,5654
1050,5660
1051,5663
1052,5672
1053,5674
1054,5677
1055,5680
1056,5689
1057,5690
1058,5704
1059,5705
1060,5707
1061,5708
1062,5710
1063,5713
1064,5715
1065,5720
1066,5723
1067,5727
1068,5729
1069,5731
1070,5737
1071,5739
1072,5748
1073,5750
1074,5752
1075,5753
1076,5755
1077,5758
1078,5788
1079,5790
1080,5800
1081,5802
1082,5809
1083,5813
1084,5819
1085,5825
1086,5826
1087,5827
1088,5833
1089,5837
1090,5838
1091,5843
1092,5849
1093,5855
1094,5866
1095,5875
1096,5892
1097,5898
1098,5906
1099,5908
1100,5912
1101,5915
1102,5925
1103,5940
1104,5943
1105,5955
1106,5959
1107,5961
1108,5968
1109,5986
1110,5987
1111,5990
1112,6001
1113,6011
1114,6016
1115,6017
1116,6020
1117,6025
1118,6028
1119,6037
1120,6040
1121,6045
1122,6048
1123,6049
1124,6058
1125,6060
1126,6065
1127,6068
1128,6070
1129,6072
1130,6075
1131,6077
1132,6078
1133,6091
1134,6096
1135,6100
1136,6101
1137,6110
1138,6123
1139,6132
1140,6136
1141,6142
1142,6143
1143,6153
1144,6154
1145,6158
1146,6163
1147,6166
1148,6168
1149,6170
1150,6183
1151,6186
1152,6193
1153,6200
1154,6206
1155,6208
1156,6212
1157,6214
1158,6215
1159,6224
1160,6242
1161,6249
1162,6259
1163,6263
1164,6264
1165,6265
1166,6268
1167,6278
1168,6285
1169,6286
1170,6288
1171,6290
1172,6293
1173,6300
1174,6304
1175,6306
1176,6309
1177,6320
1178,6324
1179,6326
1180,6344
1181,6349
1182,6362
1183,6363
1184,6365
1185,6366
1186,6373
1187,6377
1188,6383
1189,6384
1190,6385
1191,6389
1192,6390
1193,6393
1194,6395
1195,6397
1196,6401
1197,6416
1198,6420
1199,6422
1200,6434
1201,6438
1202,6442
1203,6447
1204,6454
1205,6457
1206,6473
1207,6484
1208,6488
1209,6490
1210,6498
1211,6500
1212,6503
1213,6504
1214,6506
1215,6515
1216,6521
1217,6530
1218,6532
1219,6540
1220,6545
1221,6550
1222,6551
1223,6560
1224,6567
1225,6584
1226,6585
1227,6586
1228,6600
1229,6604
1230,6606
1231,6610
1232,6613
1233,6618
1234,6634
1235,6636
1236,6638
1237,6639
1238,6640
1239,6644
1240,6652
1241,6656
1242,6665
1243,6666
1244,6667
1245,6668
1246,6669
1247,6672
1248,6683
1249,6685
1250,6692
1251,6700
1252,6701
1253,6726
1254,6742
1255,6744
1256,6751
1257,6759
1258,6761
1259,6770
1260,6779
1261,6786
1262,6789
1263,6790
1264,6794
1265,6795
1266,6796
1267,6797
1268,6798
1269,6799
1270,6803
1271,6810
1272,6813
1273,6825
1274,6830
1275,6833
1276,6834
1277,6835
1278,6843
1279,6844
1280,6849
1281,6850
1282,6853
1283,6859
1284,6860
1285,6867
1286,6868
1287,6870
1288,6875
1289,6879
1290,6881
1291,6883
1292,6891
1293,6899
1294,6900
1295,6903
1296,6919
1297,6924
1298,6926
1299,6930
1300,6931
1301,6936
1302,6938
1303,6948
1304,6957
1305,6965
1306,6970
1307,6971
1308,6972
1309,6974
1310,6983
1311,6984
1312,6988
1313,7003
1314,7010
1315,7012
1316,7017
1317,7046
1318,7048
1319,7049
1320,7052
1321,7069
1322,7085
1323,7094
1324,7104
1325,7105
1326,7110
1327,7112
1328,7114
1329,7117
1330,7120
1331,7121
1332,7123
1333,7124
1334,7126
1335,7129
1336,7142
1337,7145
1338,7147
1339,7148
1340,7157
1341,7158
1342,7164
1343,7166
1344,7173
1345,7180
1346,7185
1347,7187
1348,7189
1349,7196
1350,7201
1351,7203
1352,7205
1353,7209
1354,7232
1355,7245
1356,7257
1357,7262
1358,7272
1359,7277
1360,7289
1361,7291
1362,7294
1363,7305
1364,7306
1365,7316
1366,7317
1367,7321
1368,7325
1369,7335
1370,7349
1371,7354
1372,7358
1373,7361
1374,7364
1375,7369
1376,7372
1377,7381
1378,7383
1379,7392
1380,7393
1381,7394
1382,7400
1383,7408
1384,7411
1385,7419
1386,7424
1387,7431
1388,7432
1389,7433
1390,7435
1391,7438
1392,7440
1393,7453
1394,7454
1395,7456
1396,7464
1397,7469
1398,7471
1399,7476
1400,7477
1401,7484
1402,7485
1403,7491
1404,7496
1405,7500
1406,7504
1407,7517
1408,7520
1409,7521
1410,7529
1411,7538
1412,7554
1413,7556
1414,7558
1415,7567
1416,7569
1417,7593
1418,7594
1419,7595
1420,7611
1421,7615
1422,7626
1423,7643
1424,7648
1425,7652
1426,7662
1427,7667
1428,7680
1429,7682
1430,7687
1431,7689
1432,7693
1433,7694
1434,7695
1435,7698
1436,7713
1437,7715
1438,7730
1439,7734
1440,7739
1441,7743
1442,7744
1443,7745
1444,7765
1445,7770
1446,7784
1447,7789
1448,7791
1449,7823
1450,7834
1451,7837
1452,7854
1453,7855
1454,7877
1455,7881
1456,7882
1457,7886
1458,7887
1459,7891
1460,7893
1461,7899
1462,7900
1463,7917
1464,7941
1465,7943
1466,7954
1467,7959
1468,7961
1469,7987
1470,7988
1471,7991
1472,7996
1473,7999
1474,8000
1475,8010
1476,8013
1477,8022
1478,8027
1479,8028
1480,8031
1481,8040
1482,8056
1483,8058
1484,8060
1485,8069
1486,8081
1487,8092
1488,8095
1489,8100
1490,8112
1491,8116
1492,8119
1493,8128
1494,8131
1495,8133
1496,8135
1497,8136
1498,8137
1499,8142
1500,8144
1501,8148
1502,8153
1503,8154
1504,8161
1505,8173
1506,8174
1507,8177
1508,8179
1509,8185
1510,8188
1511,8196
1512,8202
1513,8205
1514,8208
1515,8211
1516,8217
1517,8221
1518,8224
1519,8227
1520,8230
1521,8231
1522,8234
1523,8251
1524,8255
1525,8258
1526,8259
1527,8272
1528,8290
1529,8292
1530,8293
1531,8296
1532,8305
1533,8313
1534,8316
1535,8319
1536,8325
1537,8329
1538,8340
1539,8343
1540,8345
1541,8349
1542,8352
1543,8357
1544,8360
1545,8370
1546,8380
1547,8386
1548,8387
1549,8389
1550,8390
1551,8395
1552,8398
1553,8404
1554,8408
1555,8414
1556,8418
1557,8424
1558,8443
1559,8446
1560,8450
1561,8451
1562,8454
1563,8465
1564,8470
1565,8486
1566,8487
1567,8492
1568,8495
1569,8496
1570,8497
1571,8503
1572,8504
1573,8511
1574,8513
1575,8516
1576,8521
1577,8525
1578,8528
1579,8530
1580,8535
1581,8540
1582,8549
1583,8564
1584,8577
1585,8583
1586,8590
1587,8594
1588,8597
1589,8598
1590,8605
1591,8613
1592,8617
1593,8620
1594,8623
1595,8624
1596,8638
1597,8640
1598,8641
1599,8642
1600,8646
1601,8652
1602,8653
1603,8657
1604,8666
1605,8667
1606,8673
1607,8676
1608,8683
1609,8687
1610,8690
1611,8694
1612,8704
1613,8708
1614,8710
1615,8713
1616,8717
1617,8720
1618,8726
1619,8732
1620,8734
1621,8736
1622,8738
1623,8740
1624,8744
1625,8756
1626,8759
1627,8761
1628,8773
1629,8781
1630,8784
1631,8785
1632,8793
1633,8796
1634,8803
1635,8816
1636,8820
1637,8826
1638,8831
1639,8847
1640,8852
1641,8864
1642,8865
1643,8875
1644,8880
1645,8889
1646,8894
1647,8908
1648,8921
1649,8926
1650,8941
1651,8949
1652,8956
1653,8961
1654,8964
1655,8967
1656,8968
1657,8972
1658,8979
1659,8980
1660,8986
1661,8992
1662,9001
1663,9007
1664,9010
1665,9015
1666,9020
1667,9021
1668,9032
1669,9040
1670,9042
1671,9058
1672,9060
1673,9068
1674,9072
1675,9080
1676,9085
1677,9111
1678,9122
1679,9124
1680,9126
1681,9130
1682,9140
1683,9147
1684,9148
1685,9151
1686,9156
1687,9171
1688,9173
1689,9183
1690,9193
1691,9198
1692,9207
1693,9212
1694,9213
1695,9222
1696,9224
1697,9228
1698,9233
1699,9236
1700,9237
1701,9240
1702,9243
1703,9250
1704,9259
1705,9263
1706,9275
1707,9282
1708,9291
1709,9297
1710,9310
1711,9312
1712,9316
1713,9317
1714,9321
1715,9324
1716,9328
1717,9330
1718,9337
1719,9340
1720,9342
1721,9355
1722,9366
1723,9367
1724,9371
1725,9384
1726,9392
1727,9399
1728,9404
1729,9415
1730,9416
1731,9417
1732,9420
1733,9421
1734,9423
1735,9434
1736,9437
1737,9453
1738,9455
1739,9459
1740,9463
1741,9465
1742,9466
1743,9468
1744,9470
1745,9478
1746,9479
1747,9481
1748,9486
1749,9496
1750,9505
1751,9508
1752,9524
1753,9526
1754,9544
1755,9548
1756,9559
1757,9571
1758,9572
1759,9584
1760,9590
1761,9600
1762,9601
1763,9612
1764,9614
1765,9630
1766,9632
1767,9634
1768,9639
1769,9640
1770,9642
1771,9654
1772,9656
1773,9657
1774,9663
1775,9664
1776,9666
1777,9674
1778,9679
1779,9680
1780,9682
1781,9687
1782,9695
1783,9698
1784,9699
1785,9700
1786,9704
1787,9710
1788,9712
1789,9716
1790,9725
1791,9726
1792,9732
1793,9733
1794,9737
1795,9749
1796,9750
1797,9753
1798,9754
1799,9755
1800,9760
1801,9764
1802,9772
1803,9780
1804,9783
1805,9789
1806,9792
1807,9794
1808,9797
1809,9798
